Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,40.552502,41.360001,39.794998,41.222500,41.222500,73064800
2020-12-03,41.322498,42.047501,41.087502,41.389999,41.389999,78730800
2020-12-04,41.400002,41.959999,41.127499,41.897499,41.897499,63544000
2020-12-07,41.974998,42.755001,41.900002,42.607498,42.607498,62014000
2020-12-08,42.412498,43.169998,41.652500,42.997501,42.997501,66962800
2020-12-09,42.959999,43.064999,39.654999,40.117500,40.117500,122439200
2020-12-10,39.259998,41.067501,38.814999,40.610001,40.610001,86673200
2020-12-11,39.912498,40.382500,38.974998,40.325001,40.325001,84909600
2020-12-14,40.807499,42.012501,40.792500,41.185001,41.185001,73342400
2020-12-15,42.145000,42.502499,41.230000,42.465000,42.465000,78708800
2020-12-16,42.692501,43.562500,42.244999,43.177502,43.177502,68795200
2020-12-17,43.912498,44.169998,43.397499,44.062500,44.062500,69637600
2020-12-18,44.389999,44.477501,42.632500,43.582500,43.582500,84378000
2020-12-21,42.392502,43.654999,41.169998,43.419998,43.419998,101798400
2020-12-22,43.825001,44.177502,42.544998,43.762501,43.762501,80165200
2020-12-23,43.759998,43.939999,43.044998,43.102501,43.102501,59717200
2020-12-24,43.227501,43.860001,43.180000,43.662498,43.662498,38532800
2020-12-28,44.790001,45.189999,44.007500,44.972500,44.972500,58526400
2020-12-29,45.587502,45.849998,44.702499,45.105000,45.105000,60571200
2020-12-30,45.612499,45.750000,44.817501,45.097500,45.097500,52403600
2020-12-31,45.067501,45.619999,44.582500,45.450001,45.450001,53354000
2021-01-04,46.020000,46.097500,41.707500,43.462502,43.462502,98736000
2021-01-05,43.070000,44.639999,43.070000,44.552502,44.552502,59356400
2021-01-06,42.474998,44.584999,42.055000,42.709999,42.709999,105365200
2021-01-07,43.842499,46.162498,43.837502,45.794998,45.794998,61847600
2021-01-08,46.827499,47.720001,45.849998,47.570000,47.570000,76407600
2021-01-11,46.202499,46.735001,45.202499,45.467499,45.467499,70162800
2021-01-12,45.529999,46.002499,44.099998,45.270000,45.270000,73015600
2021-01-13,45.392502,46.547501,45.125000,46.150002,46.150002,54375200
2021-01-14,46.375000,46.834999,45.240002,45.447498,45.447498,59118000
2021-01-15,45.352501,45.782501,43.770000,44.342499,44.342499,70846000
2021-01-19,45.362499,46.517502,44.900002,46.264999,46.264999,60483600
2021-01-20,47.927502,49.942501,47.764999,49.490002,49.490002,60868000
2021-01-21,50.125000,51.070000,49.500000,50.720001,50.720001,46084200
2021-01-22,50.205002,50.759998,49.939999,50.259998,50.259998,40939400
2021-01-25,51.880001,52.535000,48.400002,51.654999,51.654999,76585200
2021-01-26,51.860001,52.290001,51.090000,51.709999,51.709999,45484400
2021-01-27,50.630001,50.650002,46.500000,47.540001,47.540001,94450400
2021-01-28,47.945000,50.500000,47.674999,48.240002,48.240002,45010800
2021-01-29,47.450001,47.959999,44.375000,45.235001,45.235001,92139200
2021-02-01,46.775002,49.014999,45.869999,48.560001,48.560001,52829800
2021-02-02,49.945000,51.480000,49.880001,50.910000,50.910000,46373200
2021-02-03,51.965000,52.115002,50.325001,50.325001,50.325001,47586000
2021-02-04,51.020000,52.150002,50.375000,52.105000,52.105000,36404400
2021-02-05,52.599998,53.145000,51.785000,52.650002,52.650002,43307600
2021-02-08,53.480000,53.775002,52.674999,53.680000,53.680000,38497400
2021-02-09,53.240002,54.285000,53.240002,53.654999,53.654999,32884400
2021-02-10,54.389999,54.599998,51.730000,53.275002,53.275002,61774000
2021-02-11,54.080002,54.369999,52.980000,54.134998,54.134998,49430000
2021-02-12,53.790001,55.150002,53.220001,55.055000,55.055000,38735800
2021-02-16,55.480000,55.930000,54.040001,54.595001,54.595001,44331800
2021-02-17,53.115002,53.970001,52.005001,53.834999,53.834999,52993400
2021-02-18,52.029999,53.480000,51.139999,53.110001,53.110001,55101000
2021-02-19,53.820000,53.840000,51.930000,52.410000,52.410000,46688600
2021-02-22,50.270000,50.900002,48.250000,48.349998,48.349998,66367400
2021-02-23,45.889999,48.680000,43.209999,47.919998,47.919998,99637400
2021-02-24,46.619999,49.235001,45.450001,49.075001,49.075001,61521000
2021-02-25,47.810001,49.035000,43.224998,43.950001,43.950001,118896000
2021-02-26,45.195000,46.580002,43.125000,44.610001,44.610001,104659200
2021-03-01,46.680000,48.654999,46.095001,48.500000,48.500000,66853600
2021-03-02,48.770000,48.845001,46.049999,46.174999,46.174999,75846600
2021-03-03,45.685001,46.099998,42.125000,42.169998,42.169998,115771200
2021-03-04,41.985001,43.320000,38.439999,40.084999,40.084999,216018600
2021-03-05,41.145000,42.235001,37.514999,41.880001,41.880001,168328200
2021-03-08,41.639999,42.424999,38.134998,38.299999,38.299999,117865800
2021-03-09,41.235001,43.575001,40.965000,42.810001,42.810001,86714600
2021-03-10,44.630001,44.750000,42.154999,42.445000,42.445000,101685600
2021-03-11,44.509998,46.130001,44.070000,45.389999,45.389999,79467800
2021-03-12,43.584999,44.334999,42.535000,44.259998,44.259998,83295000
2021-03-15,44.404999,45.755001,43.689999,45.674999,45.674999,63350800
2021-03-16,46.669998,47.994999,45.799999,46.424999,46.424999,84385200
2021-03-17,45.060001,47.865002,44.305000,47.009998,47.009998,98185400
2021-03-18,44.805000,45.250000,42.474998,42.695000,42.695000,114126800
2021-03-19,42.625000,43.775002,41.700001,43.240002,43.240002,96643200
2021-03-22,44.145000,46.435001,44.145000,45.544998,45.544998,70550600
2021-03-23,46.025002,46.615002,44.584999,44.950001,44.950001,93890400
2021-03-24,45.544998,45.560001,42.625000,42.680000,42.680000,95241800
2021-03-25,41.910000,43.090000,40.825001,42.450001,42.450001,119937200
2021-03-26,42.360001,44.485001,41.764999,44.325001,44.325001,107530200
2021-03-29,44.119999,44.770000,42.860001,44.299999,44.299999,95294600
2021-03-30,43.474998,43.895000,42.480000,43.669998,43.669998,74174800
2021-03-31,44.395000,46.299999,44.255001,45.630001,45.630001,80984400
2021-04-01,47.320000,48.014999,47.209999,47.950001,47.950001,72543600
2021-04-05,49.105000,51.189999,48.985001,50.830002,50.830002,65269800
2021-04-06,50.680000,51.639999,50.355000,50.709999,50.709999,60303400
2021-04-07,50.514999,51.490002,50.049999,51.084999,51.084999,49493600
2021-04-08,52.459999,52.770000,52.049999,52.680000,52.680000,56809600
2021-04-09,52.009998,53.730000,51.660000,53.634998,53.634998,64719200
2021-04-12,53.150002,53.619999,52.490002,53.424999,53.424999,54816000
2021-04-13,54.189999,55.500000,54.060001,55.255001,55.255001,57511000
2021-04-14,55.395000,55.465000,52.880001,53.314999,53.314999,80613800
2021-04-15,54.685001,55.884998,54.619999,55.669998,55.669998,60399000
2021-04-16,55.955002,55.994999,54.950001,55.904999,55.904999,58744000
2021-04-19,55.075001,55.685001,53.375000,54.380001,54.380001,79584000
2021-04-20,54.025002,54.660000,52.195000,53.189999,53.189999,79141800
2021-04-21,52.500000,54.615002,52.009998,54.535000,54.535000,55528600
2021-04-22,54.334999,54.814999,51.970001,52.549999,52.549999,87424200
2021-04-23,52.860001,55.160000,52.860001,54.529999,54.529999,53843000
2021-04-26,54.654999,55.735001,54.275002,55.610001,55.610001,49988400
2021-04-27,55.735001,55.834999,54.384998,54.880001,54.880001,59656400
2021-04-28,54.695000,55.200001,53.985001,54.314999,54.314999,59475000
2021-04-29,55.930000,56.115002,53.290001,54.860001,54.860001,74062200
2021-04-30,53.645000,54.900002,53.345001,53.830002,53.830002,59220200
2021-05-03,54.380001,54.744999,52.715000,52.950001,52.950001,67111000
2021-05-04,51.724998,51.845001,48.224998,50.160000,50.160000,105617000
2021-05-05,51.020000,51.424999,49.200001,49.575001,49.575001,68214600
2021-05-06,49.435001,50.740002,48.395000,50.660000,50.660000,84831600
2021-05-07,51.985001,53.040001,51.384998,51.900002,51.900002,79353400
2021-05-10,51.244999,51.330002,47.880001,48.000000,48.000000,92107400
2021-05-11,45.294998,48.119999,45.000000,47.759998,47.759998,114403400
2021-05-12,45.509998,46.575001,43.660000,44.125000,44.125000,118079000
2021-05-13,45.299999,46.334999,44.035000,45.055000,45.055000,104301000
2021-05-14,46.439999,48.445000,46.209999,47.985001,47.985001,72131600
2021-05-17,47.255001,47.580002,45.865002,47.174999,47.174999,69271200
2021-05-18,47.605000,48.139999,46.095001,46.185001,46.185001,65842000
2021-05-19,43.825001,46.494999,43.665001,46.355000,46.355000,95944800
2021-05-20,47.035000,49.430000,46.915001,49.035000,49.035000,69613200
2021-05-21,49.770000,49.965000,48.055000,48.224998,48.224998,64066600
2021-05-24,49.275002,51.169998,49.110001,50.639999,50.639999,46090800
2021-05-25,51.375000,51.720001,50.314999,50.884998,50.884998,53364400
2021-05-26,51.180000,51.619999,50.860001,51.400002,51.400002,39017400
2021-05-27,51.185001,51.580002,50.720001,50.799999,50.799999,41608400
2021-05-28,51.389999,52.049999,51.150002,51.294998,51.294998,40928600
2021-06-01,51.924999,52.150002,50.145000,50.794998,50.794998,51931800
2021-06-02,50.974998,51.485001,50.264999,51.060001,51.060001,41589400
2021-06-03,49.744999,50.334999,48.689999,49.455002,49.455002,60516000
2021-06-04,50.314999,52.195000,50.264999,51.990002,51.990002,45587600
2021-06-07,51.715000,52.485001,51.404999,52.450001,52.450001,31096600
2021-06-08,53.290001,53.709999,51.715000,52.509998,52.509998,46472200
2021-06-09,53.180000,53.560001,52.465000,52.570000,52.570000,38901800
2021-06-10,52.715000,54.250000,52.500000,54.180000,54.180000,58603400
2021-06-11,54.209999,54.619999,53.880001,54.610001,54.610001,34169400
2021-06-14,54.820000,56.185001,54.250000,56.139999,56.139999,45411600
2021-06-15,56.009998,56.169998,54.730000,55.099998,55.099998,45054000
2021-06-16,55.310001,55.834999,52.759998,54.509998,54.509998,78889000
2021-06-17,53.980000,57.040001,53.965000,56.544998,56.544998,72161800
2021-06-18,55.705002,56.290001,54.840000,55.195000,55.195000,71447200
2021-06-21,55.314999,56.400002,54.195000,56.205002,56.205002,53854200
2021-06-22,56.154999,58.025002,55.985001,57.775002,57.775002,51789400
2021-06-23,57.785000,58.480000,57.465000,57.875000,57.875000,46998400
2021-06-24,58.869999,59.744999,58.595001,58.939999,58.939999,46836200
2021-06-25,59.244999,59.375000,58.424999,58.755001,58.755001,43496600
2021-06-28,59.384998,60.939999,59.369999,60.834999,60.834999,44393800
2021-06-29,60.779999,61.540001,60.334999,61.520000,61.520000,37280000
2021-06-30,61.445000,61.650002,60.924999,61.250000,61.250000,40273400
2021-07-01,61.040001,61.570000,60.325001,61.279999,61.279999,41917400
2021-07-02,62.320000,63.575001,62.189999,63.360001,63.360001,46751000
2021-07-06,63.724998,64.379997,62.250000,64.209999,64.209999,54799800
2021-07-07,65.449997,65.610001,63.549999,64.620003,64.620003,57637800
2021-07-08,61.845001,63.930000,61.119999,63.500000,63.500000,76262200
2021-07-09,63.139999,64.900002,62.814999,64.574997,64.574997,46437800
2021-07-12,65.400002,65.644997,64.529999,65.385002,65.385002,43563000
2021-07-13,65.190002,67.035004,64.904999,65.349998,65.349998,59725000
2021-07-14,66.680000,67.040001,65.275002,65.705002,65.705002,68021400
2021-07-15,65.705002,65.790001,63.230000,64.345001,64.345001,68596400
2021-07-16,64.830002,65.355003,62.584999,62.764999,62.764999,63701400
2021-07-19,60.904999,61.500000,59.834999,61.259998,61.259998,101143200
2021-07-20,61.720001,64.150002,60.775002,63.279999,63.279999,60772400
2021-07-21,63.154999,64.794998,63.000000,64.724998,64.724998,40881600
2021-07-22,64.925003,66.099998,64.919998,66.084999,66.084999,47478800
2021-07-23,66.849998,68.555000,66.144997,68.279999,68.279999,51949200
2021-07-26,68.010002,68.785004,67.519997,68.565002,68.565002,42988800
2021-07-27,68.415001,68.415001,63.915001,66.324997,66.324997,89391000
2021-07-28,66.930000,67.930000,65.635002,67.050003,67.050003,71970200
2021-07-29,66.739998,68.059998,66.735001,67.379997,67.379997,44319200
2021-07-30,65.175003,66.675003,65.135002,66.370003,66.370003,56559400
